"""id""","""code""","""category""","""itemName""","""imageUrl1""","""imageUrl2""","""imageUrl3""","""imageUrlCartThumbnail""","""price""","""pieces""","""description""","""evaluation""","""itemFeaturesCode""","""itemFeatures""","""reviewCodes"""
" ""1""","""bit01"""," ""ベーシック""","""ビターチョコ""","""/imgSweep/itemDetail_Item_Basic.jpg""","""/imgSweep/material_pattern1.jpg""","""/imgSweep/package_black.jpg""","""/imgSweep/cart_Image_Basic.jpg"""," [""600"", ""1800"", ""3000""]"," [""(7個)"", ""(30個)"", ""(エクストラ)""],","""ベーシックな苦味が特徴で初めての方にとてもおすすめのチョコです。""","[""4"", ""3"", ""2"", ""4""]","""A""", [],"[""5"", ""6""]"
" ""2""",""""""," ""ミルク""","""ミルクチョコ""","""/imgSweep/itemDetail_Item_Milk.jpg""","""/imgSweep/material_pattern2.jpg""","""/imgSweep/package_blue.jpg""","""/imgSweep/cart_Image_Milk.jpg"""," [""500"", ""1200"", ""2000""]"," [""(7個)"", ""(30個)"", ""(エクストラ)""],","""ミルクの味わいを重視したふんわり軽い仕上がりの甘いチョコです。""","[""5"", ""3"", ""2"", ""4""]","""A""", [],"[""5"", ""6""]"
" ""3""",””," ""キャラメル""","""キャラメルチョコ""","""/imgSweep/itemDetail_Item_Caramel.jpg""","""/imgSweep/material_pattern3.jpg""","""/imgSweep/package_brawn.jpg""","""/imgSweep/cart_Image_Caramel.jpg"""," [""600"", ""1800"", ""3000""]"," [""(7個)"", ""(30個)"", ""(エクストラ)""],","""キャラメルの香ばしい香りと甘さ・苦味のバランスがクセになるチョコです。""","[""4"", ""3"", ""2"", ""4""]","""A""", [],"[""5"", ""6""]"
" ""4""",””," ""ストロベリー"""," ""ストロベリーチョコ""","""/imgSweep/itemDetail_Item_Strawberry.jpg""","""/imgSweep/material_pattern5.jpg""","""/imgSweep/package_red.jpg""","""/imgSweep/cart_Image_Strawberry.jpg"""," [""600"", ""1800"", ""3000""]"," [""(7個)"", ""(30個)"", ""(エクストラ)""],","""国産いちごの果肉を使った、フルーティーで爽やかな味わいのチョコレートです。""","[""4"", ""3"", ""2"", ""4""]","""A""", [],"[""5"", ""6""]"
" ""5""",””," ""サクラ"""," ""サクラチョコ""","""/imgSweep/itemDetail_Item_Sakura.jpg""","""/imgSweep/ItemDetail_Feature_1.jpg""","""/imgSweep/package_pink.jpg""","""/imgSweep/cart_Image_Sakura.jpg"""," [""600"", ""1800"", ""3000""]"," [""(7個)"", ""(30個)"", ""(エクストラ)""],","""春の訪れを感じさせる、桜の花びらをイメージした華やかな風味が楽しめるチョコレートです。""","[""4"", ""3"", ""2"", ""4""]","""A""", [],"[""5"", ""6""]"
" ""6""",””," ""ビター"""," ""ビターチョコ""","""/imgSweep/itemDetail_Item_Bitter.jpg""","""/imgSweep/material_pattern1.jpg""","""/imgSweep/package_black.jpg""","""/imgSweep/cart_Image_Bitter.jpg"""," [""600"", ""1800"", ""3000""]"," [""(7個)"", ""(30個)"", ""(エクストラ)""],","""濃厚なカカオの香りと、しっかりとした苦みが特徴のチョコレートです。""","[""4"", ""3"", ""2"", ""4""]","""A""", [],"[""5"", ""6""]"
" ""7""",””," ""ベジタブル"""," ""ベジタブルチョコ""","""/imgSweep/itemDetail_Item_Vegitable.jpg""","""/imgSweep/material_pattern4.jpg""","""/imgSweep/package_green.jpg""","""/imgSweep/cart_Image_Vagitable.jpg"""," [""600"", ""1800"", ""3000""]"," [""(7個)"", ""(30個)"", ""(エクストラ)""],","""新鮮な野菜の風味と甘さが絶妙に調和した、ヘルシーで美味しいチョコレートです。""","[""4"", ""3"", ""2"", ""4""]","""A""", [],"[""5"", ""6""]"
" ""8""",””," ""期間限定"""," ""期間限定チョコ""","""/imgSweep/itemDetail_Item_Bitter.jpg""","""/imgSweep/ItemDetail_Feature_1.jpg""","""/imgSweep/ItemDetail_Feature_2.jpg""","""/imgSweep/itemDetail_Item_Bitter.jpg"""," [""600"", ""1800"", ""3000""]"," [""(7個)"", ""(30個)"", ""(エクストラ)""],","""期間限定チョコ"": ""季節の味覚を楽しめる、期間限定の特別なチョコレートです。""","[""4"", ""3"", ""2"", ""4""]","""A""", [],"[""5"", ""6""]"
" ""9""",," ""ビター""","""ナイトタイムビター""","""/imgSweep/itemDetail_Item_Bitter.jpg""","""/imgSweep/material_pattern1.jpg""","""/imgSweep/package_black.jpg""","""/imgSweep/cart_Image_Bitter.jpg"""," [""700"", ""1900"", ""3100""]"," [""(7個)"", ""(30個)"", ""(エクストラ)""],","""深みのあるビターチョコレートが、夜の静けさに溶け込むように設計されています。心を落ち着かせ、質の良い睡眠へと導くための選択肢です。""","[""3"", ""3"", ""2"", ""3""]","""A""", [],"[""5"", ""6""]"
" ""10""",," ""ミルク""","""ムーンライトミルク""","""/imgSweep/itemDetail_Item_Milk.jpg""","""/imgSweep/material_pattern2.jpg""","""/imgSweep/package_blue.jpg""","""/imgSweep/cart_Image_Milk.jpg"""," [""800"", ""2100"", ""3100""]"," [""(7個)"", ""(30個)"", ""(エクストラ)""],","""月明かりのように優しい味わいのミルクチョコレート。リラックスを促し、穏やかな夜へと誘う、温かみのあるフレーバーです。""","[""3"", ""5"", ""2"", ""4""]","""A""", [],"[""5"", ""6""]"
